station_id,datetime_utc,o3_value,units
5610,2022-07-21T04:30:00Z,0.0217,ppm
5610,2022-07-21T05:30:00Z,0.0213,ppm
5610,2022-07-21T06:30:00Z,0.0211,ppm
5610,2022-07-21T07:30:00Z,0.0221,ppm
5610,2022-07-21T08:30:00Z,0.0215,ppm
5610,2022-07-21T09:30:00Z,0.0213,ppm
5610,2022-07-21T10:30:00Z,0.0217,ppm
5610,2022-07-21T11:30:00Z,0.0224,ppm
5610,2022-07-21T12:30:00Z,0.0227,ppm
5610,2022-07-21T13:30:00Z,0.0224,ppm
5610,2022-07-21T14:30:00Z,0.0214,ppm
5610,2022-07-21T15:30:00Z,0.0211,ppm
5610,2022-07-21T16:30:00Z,0.0215,ppm
5610,2022-07-21T17:30:00Z,0.0224,ppm
5610,2022-07-21T18:30:00Z,0.0211,ppm
5610,2022-07-21T19:30:00Z,0.0219,ppm
5610,2022-07-21T20:30:00Z,0.0221,ppm
5610,2022-07-21T21:30:00Z,0.0213,ppm
5610,2022-07-21T22:30:00Z,0.0207,ppm
5610,2022-07-21T23:30:00Z,0.0217,ppm
5610,2022-07-22T00:30:00Z,0.0217,ppm
5610,2022-07-22T01:30:00Z,0.0217,ppm
5610,2022-07-22T02:30:00Z,0.0218,ppm
5610,2022-07-22T03:30:00Z,0.0211,ppm
5610,2022-07-22T04:30:00Z,0.0177,ppm
5610,2022-07-22T05:30:00Z,0.0218,ppm
5610,2022-07-22T06:30:00Z,0.0196,ppm
5610,2022-07-22T07:30:00Z,0.0222,ppm
5610,2022-07-22T08:30:00Z,0.0215,ppm
5610,2022-07-22T09:30:00Z,0.0221,ppm
5610,2022-07-22T10:30:00Z,0.0213,ppm
5610,2022-07-22T11:30:00Z,0.0211,ppm
5610,2022-07-22T12:30:00Z,0.0218,ppm
5610,2022-07-22T13:30:00Z,0.0207,ppm
5610,2022-07-22T14:30:00Z,0.0185,ppm
5610,2022-07-22T15:30:00Z,0.0229,ppm
5610,2022-07-22T16:30:00Z,0.0215,ppm
5610,2022-07-22T17:30:00Z,0.021,ppm
5610,2022-07-22T18:30:00Z,0.022,ppm
5610,2022-07-22T19:30:00Z,0.0214,ppm
5610,2022-07-22T20:30:00Z,0.0218,ppm
5610,2022-07-22T21:30:00Z,0.0214,ppm
5610,2022-07-22T22:30:00Z,0.0211,ppm
5610,2022-07-22T23:30:00Z,0.0219,ppm
5610,2022-07-23T00:30:00Z,0.0219,ppm
5610,2022-07-23T01:30:00Z,0.0218,ppm
5610,2022-07-23T02:30:00Z,0.0216,ppm
5610,2022-07-23T03:30:00Z,0.0212,ppm
5610,2022-07-23T04:30:00Z,0.021,ppm
5610,2022-07-23T05:30:00Z,0.0207,ppm
5610,2022-07-23T06:30:00Z,0.0215,ppm
5610,2022-07-23T07:30:00Z,0.0213,ppm
5610,2022-07-23T08:30:00Z,0.0216,ppm
5610,2022-07-23T09:30:00Z,0.0217,ppm
5610,2022-07-23T10:30:00Z,0.0217,ppm
5610,2022-07-23T11:30:00Z,0.0218,ppm
5610,2022-07-23T12:30:00Z,0.022,ppm
5610,2022-07-23T13:30:00Z,0.0217,ppm
5610,2022-07-23T14:30:00Z,0.022,ppm
5610,2022-07-23T15:30:00Z,0.0221,ppm
5610,2022-07-23T16:30:00Z,0.0219,ppm
5610,2022-07-23T17:30:00Z,0.0223,ppm
5610,2022-07-23T18:30:00Z,0.0216,ppm
5610,2022-07-23T19:30:00Z,0.0214,ppm
5610,2022-07-23T20:30:00Z,0.021,ppm
5610,2022-07-23T21:30:00Z,0.022,ppm
5610,2022-07-23T23:30:00Z,0.0222,ppm
5610,2022-07-24T00:30:00Z,0.0219,ppm
5610,2022-07-24T01:30:00Z,0.0222,ppm
5610,2022-07-24T02:30:00Z,0.0213,ppm
5610,2022-07-24T03:30:00Z,0.0216,ppm
5610,2022-07-24T04:30:00Z,0.0216,ppm
5610,2022-07-24T05:30:00Z,0.0223,ppm
5610,2022-07-24T06:30:00Z,0.0215,ppm
5610,2022-07-24T07:30:00Z,0.0223,ppm
5610,2022-07-24T08:30:00Z,0.0224,ppm
5610,2022-07-24T09:30:00Z,0.0214,ppm
5610,2022-07-24T10:30:00Z,0.022,ppm
5610,2022-07-24T11:30:00Z,0.0217,ppm
5610,2022-07-24T12:30:00Z,0.0223,ppm
5610,2022-07-24T13:30:00Z,0.0215,ppm
5610,2022-07-24T14:30:00Z,0.0219,ppm
5610,2022-07-24T15:30:00Z,0.0223,ppm
5610,2022-07-24T16:30:00Z,0.0226,ppm
5610,2022-07-24T17:30:00Z,0.0215,ppm
5610,2022-07-24T18:30:00Z,0.0218,ppm
5610,2022-07-24T19:30:00Z,0.0223,ppm
5610,2022-07-24T20:30:00Z,0.0224,ppm
5610,2022-07-24T21:30:00Z,0.0219,ppm
5610,2022-07-24T22:30:00Z,0.0219,ppm
5610,2022-07-24T23:30:00Z,0.0221,ppm
5610,2022-07-25T00:30:00Z,0.0217,ppm
5610,2022-07-25T01:30:00Z,0.0219,ppm
5610,2022-07-25T02:30:00Z,0.0219,ppm
5610,2022-07-25T03:30:00Z,0.022,ppm
5610,2022-07-25T04:30:00Z,0.0239,ppm
5610,2022-07-25T05:30:00Z,0.0215,ppm
5610,2022-07-25T06:30:00Z,0.0202,ppm
5610,2022-07-25T07:30:00Z,0.0208,ppm
5610,2022-07-25T08:30:00Z,0.0221,ppm
5610,2022-07-25T09:30:00Z,0.0219,ppm
5610,2022-07-25T10:30:00Z,0.0214,ppm
5610,2022-07-25T11:30:00Z,0.0218,ppm
5610,2022-07-25T12:30:00Z,0.0219,ppm
5610,2022-07-25T13:30:00Z,0.0218,ppm
5610,2022-07-25T14:30:00Z,0.0215,ppm
5610,2022-07-25T15:30:00Z,0.0217,ppm
5610,2022-07-25T16:30:00Z,0.0217,ppm
5610,2022-07-25T17:30:00Z,0.0217,ppm
5610,2022-07-25T18:30:00Z,0.0216,ppm
5610,2022-07-25T19:30:00Z,0.0218,ppm
5610,2022-07-25T20:30:00Z,0.022,ppm
5610,2022-07-25T21:30:00Z,0.0219,ppm
5610,2022-07-25T22:30:00Z,0.022,ppm
5610,2022-07-25T23:30:00Z,0.0221,ppm
5610,2022-07-26T00:30:00Z,0.022,ppm
5610,2022-07-27T01:30:00Z,0.0216,ppm
5610,2022-07-27T02:30:00Z,0.0219,ppm
5610,2022-07-27T04:30:00Z,0.0214,ppm
5610,2022-07-27T05:30:00Z,0.0217,ppm
5610,2022-07-27T06:30:00Z,0.0216,ppm
5610,2022-07-27T07:30:00Z,0.022,ppm
5610,2022-07-27T08:30:00Z,0.022,ppm
5610,2022-07-27T09:30:00Z,0.0217,ppm
5610,2022-07-27T10:30:00Z,0.0219,ppm
5610,2022-07-27T11:30:00Z,0.0219,ppm
5610,2022-07-27T12:30:00Z,0.0219,ppm
5610,2022-07-27T13:30:00Z,0.0221,ppm
5610,2022-07-27T14:30:00Z,0.0216,ppm
5610,2022-07-27T15:30:00Z,0.0219,ppm
5610,2022-07-27T16:30:00Z,0.0221,ppm
5610,2022-07-27T17:30:00Z,0.0217,ppm
5610,2022-07-27T18:30:00Z,0.0215,ppm
5610,2022-07-27T19:30:00Z,0.022,ppm
5610,2022-07-27T20:30:00Z,0.0218,ppm
5610,2022-07-27T21:30:00Z,0.0215,ppm
5610,2022-07-27T22:30:00Z,0.0217,ppm
5610,2022-07-27T23:30:00Z,0.0217,ppm
5610,2022-07-28T00:30:00Z,0.0218,ppm
5610,2022-07-28T01:30:00Z,0.0217,ppm
5610,2022-07-28T02:30:00Z,0.0215,ppm
5610,2022-07-28T03:30:00Z,0.022,ppm
5610,2022-07-28T04:30:00Z,0.0216,ppm
5610,2022-07-28T05:30:00Z,0.0221,ppm
5610,2022-07-28T06:30:00Z,0.0217,ppm
5610,2022-07-28T07:30:00Z,0.0216,ppm
5610,2022-07-28T08:30:00Z,0.0217,ppm
5610,2022-07-28T09:30:00Z,0.0218,ppm
5610,2022-07-28T10:30:00Z,0.0217,ppm
5610,2022-07-28T11:30:00Z,0.0216,ppm
5610,2022-07-28T12:30:00Z,0.0216,ppm
5610,2022-07-28T13:30:00Z,0.0128,ppm
5610,2022-07-28T14:30:00Z,0.0217,ppm
5610,2022-07-28T15:30:00Z,0.0218,ppm
5610,2022-07-28T16:30:00Z,0.0219,ppm
5610,2022-07-28T17:30:00Z,0.0216,ppm
5610,2022-07-28T18:30:00Z,0.0219,ppm
5610,2022-07-28T19:30:00Z,0.0215,ppm
5610,2022-07-28T20:30:00Z,0.0217,ppm
5610,2022-07-28T21:30:00Z,0.0216,ppm
5610,2022-07-28T22:30:00Z,0.0218,ppm
5610,2022-07-28T23:30:00Z,0.0214,ppm
5610,2022-07-29T00:30:00Z,0.0217,ppm
5610,2022-07-29T01:30:00Z,0.022,ppm
5610,2022-07-29T02:30:00Z,0.0215,ppm
5610,2022-07-29T03:30:00Z,0.0221,ppm
5610,2022-07-29T04:30:00Z,0.0215,ppm
5610,2022-07-29T05:30:00Z,0.0214,ppm
5610,2022-07-29T06:30:00Z,0.0214,ppm
5610,2022-07-29T07:30:00Z,0.0,ppm
5610,2022-07-29T08:30:00Z,0.0,ppm
5610,2022-07-29T09:30:00Z,0.0,ppm
5610,2022-07-29T10:30:00Z,0.0,ppm
5610,2022-07-29T11:30:00Z,0.0,ppm
5610,2022-07-29T12:30:00Z,0.0155,ppm
5610,2022-07-30T05:30:00Z,0.0152,ppm
5610,2022-07-30T06:30:00Z,0.0135,ppm
